start_ms	end_ms	sentence	source_clip
74405	86850	ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES	LibriSpeech/test-clean/1089/134686/1089-134686-0011.flac
86850	98490	HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER	LibriSpeech/test-clean/1089/134686/1089-134686-0012.flac
98490	106405	IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT	LibriSpeech/test-clean/1089/134686/1089-134686-0013.flac
106405	108630	HE TRIED TO THINK HOW IT COULD BE	LibriSpeech/test-clean/1089/134686/1089-134686-0014.flac
108630	114445	BUT THE DUSK DEEPENING IN THE SCHOOLROOM COVERED OVER HIS THOUGHTS THE BELL RANG	LibriSpeech/test-clean/1089/134686/1089-134686-0015.flac
114445	117985	THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS	LibriSpeech/test-clean/1089/134686/1089-134686-0016.flac
117985	126855	STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HERON CHECKED FROM TIME TO TIME BY SAYING	LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac
126855	142575	IT WAS STRANGE TOO THAT HE FOUND AN ARID PLEASURE IN FOLLOWING UP TO THE END THE RIGID LINES OF THE DOCTRINES OF THE CHURCH AND PENETRATING INTO OBSCURE SILENCES ONLY TO HEAR AND FEEL THE MORE DEEPLY HIS OWN CONDEMNATION	LibriSpeech/test-clean/1089/134686/1089-134686-0018.flac
142575	156470	THE SENTENCE OF SAINT JAMES WHICH SAYS THAT HE WHO OFFENDS AGAINST ONE COMMANDMENT BECOMES GUILTY OF ALL HAD SEEMED TO HIM FIRST A SWOLLEN PHRASE UNTIL HE HAD BEGUN TO GROPE IN THE DARKNESS OF HIS OWN STATE	LibriSpeech/test-clean/1089/134686/1089-134686-0019.flac
156470	173260	IF A MAN HAD STOLEN A POUND IN HIS YOUTH AND HAD USED THAT POUND TO AMASS A HUGE FORTUNE HOW MUCH WAS HE OBLIGED TO GIVE BACK THE POUND HE HAD STOLEN ONLY OR THE POUND TOGETHER WITH THE COMPOUND INTEREST ACCRUING UPON IT OR ALL HIS HUGE FORTUNE	LibriSpeech/test-clean/1089/134686/1089-134686-0020.flac
173260	179810	IF A LAYMAN IN GIVING BAPTISM POUR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED	LibriSpeech/test-clean/1089/134686/1089-134686-0021.flac
179810	190985	HOW COMES IT THAT WHILE THE FIRST BEATITUDE PROMISES THE KINGDOM OF HEAVEN TO THE POOR OF HEART THE SECOND BEATITUDE PROMISES ALSO TO THE MEEK THAT THEY SHALL POSSESS THE LAND	LibriSpeech/test-clean/1089/134686/1089-134686-0022.flac
190985	204260	WHY WAS THE SACRAMENT OF THE EUCHARIST INSTITUTED UNDER THE TWO SPECIES OF BREAD AND WINE IF JESUS CHRIST BE PRESENT BODY AND BLOOD SOUL AND DIVINITY IN THE BREAD ALONE AND IN THE WINE ALONE	LibriSpeech/test-clean/1089/134686/1089-134686-0023.flac
204260	215915	IF THE WINE CHANGE INTO VINEGAR AND THE HOST CRUMBLE INTO CORRUPTION AFTER THEY HAVE BEEN CONSECRATED IS JESUS CHRIST STILL PRESENT UNDER THEIR SPECIES AS GOD AND AS MAN	LibriSpeech/test-clean/1089/134686/1089-134686-0024.flac
215915	222525	A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION	LibriSpeech/test-clean/1089/134686/1089-134686-0025.flac
222525	226535	THE RECTOR DID NOT ASK FOR A CATECHISM TO HEAR THE LESSON FROM	LibriSpeech/test-clean/1089/134686/1089-134686-0026.flac
226535	229245	HE CLASPED HIS HANDS ON THE DESK AND SAID	LibriSpeech/test-clean/1089/134686/1089-134686-0027.flac
229245	237075	THE RETREAT WILL BEGIN ON WEDNESDAY AFTERNOON IN HONOUR OF SAINT FRANCIS XAVIER WHOSE FEAST DAY IS SATURDAY	LibriSpeech/test-clean/1089/134686/1089-134686-0028.flac
237075	241745	ON FRIDAY CONFESSION WILL BE HEARD ALL THE AFTERNOON AFTER BEADS	LibriSpeech/test-clean/1089/134686/1089-134686-0029.flac
241745	244460	BEWARE OF MAKING THAT MISTAKE	LibriSpeech/test-clean/1089/134686/1089-134686-0030.flac
244460	251075	STEPHEN'S HEART BEGAN SLOWLY TO FOLD AND FADE WITH FEAR LIKE A WITHERING FLOWER	LibriSpeech/test-clean/1089/134686/1089-134686-0031.flac
251075	255165	HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES	LibriSpeech/test-clean/1089/134686/1089-134686-0032.flac
255165	258495	A GREAT SAINT SAINT FRANCIS XAVIER	LibriSpeech/test-clean/1089/134686/1089-134686-0033.flac
258495	264305	THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON	LibriSpeech/test-clean/1089/134686/1089-134686-0034.flac
264305	267750	HE HAD THE FAITH IN HIM THAT MOVES MOUNTAINS	LibriSpeech/test-clean/1089/134686/1089-134686-0035.flac
267750	271000	A GREAT SAINT SAINT FRANCIS XAVIER	LibriSpeech/test-clean/1089/134686/1089-134686-0036.flac
271000	276210	IN THE SILENCE THEIR DARK FIRE KINDLED THE DUSK INTO A TAWNY GLOW	LibriSpeech/test-clean/1089/134686/1089-134686-0037.flac
276210	278295	HE COULD WAIT NO LONGER	LibriSpeech/test-clean/1089/134691/1089-134691-0000.flac
278295	283710	FOR A FULL HOUR HE HAD PACED UP AND DOWN WAITING BUT HE COULD WAIT NO LONGER	LibriSpeech/test-clean/1089/134691/1089-134691-0001.flac
283710	295310	HE SET OFF ABRUPTLY FOR THE BULL WALKING RAPIDLY LEST HIS FATHER'S SHRILL WHISTLE MIGHT CALL HIM BACK AND IN A FEW MOMENTS HE HAD ROUNDED THE CURVE AT THE POLICE BARRACK AND WAS SAFE	LibriSpeech/test-clean/1089/134691/1089-134691-0002.flac
295310	297485	THE UNIVERSITY	LibriSpeech/test-clean/1089/134691/1089-134691-0003.flac
297485	302660	PRIDE AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES	LibriSpeech/test-clean/1089/134691/1089-134691-0004.flac
302660	308020	WHOSE FEET ARE AS THE FEET OF HARTS AND UNDERNEATH THE EVERLASTING ARMS	LibriSpeech/test-clean/1089/134691/1089-134691-0005.flac
308020	313915	THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED	LibriSpeech/test-clean/1089/134691/1089-134691-0006.flac
313915	317355	SOON THE WHOLE BRIDGE WAS TREMBLING AND RESOUNDING	LibriSpeech/test-clean/1089/134691/1089-134691-0007.flac
317355	332340	THE UNCOUTH FACES PASSED HIM TWO BY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE	LibriSpeech/test-clean/1089/134691/1089-134691-0008.flac
332340	352395	ANGRY WITH HIMSELF HE TRIED TO HIDE HIS FACE FROM THEIR EYES BY GAZING DOWN SIDEWAYS INTO THE SHALLOW SWIRLING WATER UNDER THE BRIDGE BUT HE STILL SAW A REFLECTION THEREIN OF THEIR TOP HEAVY SILK HATS AND HUMBLE TAPE LIKE COLLARS AND LOOSELY HANGING CLERICAL CLOTHES BROTHER HICKEY	LibriSpeech/test-clean/1089/134691/1089-134691-0009.flac
352395	355590	BROTHER MAC ARDLE BROTHER KEOGH	LibriSpeech/test-clean/1089/134691/1089-134691-0010.flac
355590	375600	THEIR PIETY WOULD BE LIKE THEIR NAMES LIKE THEIR FACES LIKE THEIR CLOTHES AND IT WAS IDLE FOR HIM TO TELL HIMSELF THAT THEIR HUMBLE AND CONTRITE HEARTS IT MIGHT BE PAID A FAR RICHER TRIBUTE OF DEVOTION THAN HIS HAD EVER BEEN A GIFT TENFOLD MORE ACCEPTABLE THAN HIS ELABORATE ADORATION	LibriSpeech/test-clean/1089/134691/1089-134691-0011.flac
375600	390630	IT WAS IDLE FOR HIM TO MOVE HIMSELF TO BE GENEROUS TOWARDS THEM TO TELL HIMSELF THAT IF HE EVER CAME TO THEIR GATES STRIPPED OF HIS PRIDE BEATEN AND IN BEGGAR'S WEEDS THAT THEY WOULD BE GENEROUS TOWARDS HIM LOVING HIM AS THEMSELVES	LibriSpeech/test-clean/1089/134691/1089-134691-0012.flac
390630	406960	IDLE AND EMBITTERING FINALLY TO ARGUE AGAINST HIS OWN DISPASSIONATE CERTITUDE THAT THE COMMANDMENT OF LOVE BADE US NOT TO LOVE OUR NEIGHBOUR AS OURSELVES WITH THE SAME AMOUNT AND INTENSITY OF LOVE BUT TO LOVE HIM AS OURSELVES WITH THE SAME KIND OF LOVE	LibriSpeech/test-clean/1089/134691/1089-134691-0013.flac
406960	411715	THE PHRASE AND THE DAY AND THE SCENE HARMONIZED IN A CHORD	LibriSpeech/test-clean/1089/134691/1089-134691-0014.flac
411715	415110	WORDS WAS IT THEIR COLOURS	LibriSpeech/test-clean/1089/134691/1089-134691-0015.flac
415110	424170	THEY WERE VOYAGING ACROSS THE DESERTS OF THE SKY A HOST OF NOMADS ON THE MARCH VOYAGING HIGH OVER IRELAND WESTWARD BOUND	LibriSpeech/test-clean/1089/134691/1089-134691-0016.flac
424170	435865	THE EUROPE THEY HAD COME FROM LAY OUT THERE BEYOND THE IRISH SEA EUROPE OF STRANGE TONGUES AND VALLEYED AND WOODBEGIRT AND CITADELLED AND OF ENTRENCHED AND MARSHALLED RACES	LibriSpeech/test-clean/1089/134691/1089-134691-0017.flac
435865	438955	AGAIN AGAIN	LibriSpeech/test-clean/1089/134691/1089-134691-0018.flac
438955	442110	A VOICE FROM BEYOND THE WORLD WAS CALLING	LibriSpeech/test-clean/1089/134691/1089-134691-0019.flac
442110	446100	HELLO STEPHANOS HERE COMES THE DEDALUS	LibriSpeech/test-clean/1089/134691/1089-134691-0020.flac
446100	459470	THEIR DIVING STONE POISED ON ITS RUDE SUPPORTS AND ROCKING UNDER THEIR PLUNGES AND THE ROUGH HEWN STONES OF THE SLOPING BREAKWATER OVER WHICH THEY SCRAMBLED IN THEIR HORSEPLAY GLEAMED WITH COLD WET LUSTRE	LibriSpeech/test-clean/1089/134691/1089-134691-0021.flac
459470	465105	HE STOOD STILL IN DEFERENCE TO THEIR CALLS AND PARRIED THEIR BANTER WITH EASY WORDS	LibriSpeech/test-clean/1089/134691/1089-134691-0022.flac
465105	472840	IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS	LibriSpeech/test-clean/1089/134691/1089-134691-0023.flac
472840	475055	STEPHANOS DEDALOS	LibriSpeech/test-clean/1089/134691/1089-134691-0024.flac
475055	483060	A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DANES HAD LOOKED FORTH THROUGH THE VESTURE OF THE HAZEWRAPPED CITY	LibriSpeech/test-clean/1089/134691/1089-134691-0025.flac
483060	493785	YOU WILL FIND ME CONTINUALLY SPEAKING OF FOUR MEN TITIAN HOLBEIN TURNER AND TINTORET IN ALMOST THE SAME TERMS	LibriSpeech/test-clean/1188/133604/1188-133604-0000.flac
493785	502825	THEY UNITE EVERY QUALITY AND SOMETIMES YOU WILL FIND ME REFERRING TO THEM AS COLORISTS SOMETIMES AS CHIAROSCURISTS	LibriSpeech/test-clean/1188/133604/1188-133604-0001.flac
502825	520785	BY BEING STUDIOUS OF COLOR THEY ARE STUDIOUS OF DIVISION AND WHILE THE CHIAROSCURIST DEVOTES HIMSELF TO THE REPRESENTATION OF DEGREES OF FORCE IN ONE THING UNSEPARATED LIGHT THE COLORISTS HAVE FOR THEIR FUNCTION THE ATTAINMENT OF BEAUTY BY ARRANGEMENT OF THE DIVISIONS OF LIGHT	LibriSpeech/test-clean/1188/133604/1188-133604-0002.flac
520785	533395	MY FIRST AND PRINCIPAL REASON WAS THAT THEY ENFORCED BEYOND ALL RESISTANCE ON ANY STUDENT WHO MIGHT ATTEMPT TO COPY THEM THIS METHOD OF LAYING PORTIONS OF DISTINCT HUE SIDE BY SIDE	LibriSpeech/test-clean/1188/133604/1188-133604-0003.flac
533395	544045	SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTALLIZE HARD AT THE EDGE	LibriSpeech/test-clean/1188/133604/1188-133604-0004.flac
544045	552605	IT IS THE HEAD OF A PARROT WITH A LITTLE FLOWER IN HIS BEAK FROM A PICTURE OF CARPACCIO'S ONE OF HIS SERIES OF THE LIFE OF SAINT GEORGE	LibriSpeech/test-clean/1188/133604/1188-133604-0005.flac
552605	555005	THEN HE COMES TO THE BEAK OF IT	LibriSpeech/test-clean/1188/133604/1188-133604-0006.flac
555005	569245	THE BROWN GROUND BENEATH IS LEFT FOR THE MOST PART ONE TOUCH OF BLACK IS PUT FOR THE HOLLOW TWO DELICATE LINES OF DARK GRAY DEFINE THE OUTER CURVE AND ONE LITTLE QUIVERING TOUCH OF WHITE DRAWS THE INNER EDGE OF THE MANDIBLE	LibriSpeech/test-clean/1188/133604/1188-133604-0007.flac
569245	590000	FOR BELIEVE ME THE FINAL PHILOSOPHY OF ART CAN ONLY RATIFY THEIR OPINION THAT THE BEAUTY OF A COCK ROBIN IS TO BE RED AND OF A GRASS PLOT TO BE GREEN AND THE BEST SKILL OF ART IS IN INSTANTLY SEIZING ON THE MANIFOLD DELICIOUSNESS OF LIGHT WHICH YOU CAN ONLY SEIZE BY PRECISION OF INSTANTANEOUS TOUCH	LibriSpeech/test-clean/1188/133604/1188-133604-0008.flac
590000	613060	NOW YOU WILL SEE IN THESE STUDIES THAT THE MOMENT THE WHITE IS INCLOSED PROPERLY AND HARMONIZED WITH THE OTHER HUES IT BECOMES SOMEHOW MORE PRECIOUS AND PEARLY THAN THE WHITE PAPER AND THAT I AM NOT AFRAID TO LEAVE A WHOLE FIELD OF UNTREATED WHITE PAPER ALL ROUND IT BEING SURE THAT EVEN THE LITTLE DIAMONDS IN THE ROUND WINDOW WILL TELL AS JEWELS IF THEY ARE GRADATED JUSTLY	LibriSpeech/test-clean/1188/133604/1188-133604-0009.flac
