start_ms	end_ms	sentence	source_clip
243108	246852	The Great Hall also had an organ.	common_voice_en_42750361.mp3
246852	253332	That year, the club reached fourth place in the local championship.	common_voice_en_42767185.mp3
253332	259632	All plumbing codes require backflow prevention in several ways.	common_voice_en_43193984.mp3
259632	268344	This technique she labeled "polyphonic prose".	common_voice_en_43196248.mp3
268344	278028	This first Buddha manifested five of his attributes as five secondary Buddhas.	common_voice_en_43203141.mp3
278028	283968	He returned to Cabinet seven months later as Minister of Fisheries and Oceans.	common_voice_en_42835670.mp3
283968	290160	For many years after Galien was established, he was president of the village.	common_voice_en_42789325.mp3
290160	299376	The unincorporated communities of Choate, Freeman, Lily, and Pickerel are located within the town.	common_voice_en_43225233.mp3
299376	304272	Every friend we make, is a new connection made.	common_voice_en_42744683.mp3
304272	311112	Significant memorial plaques were to be set up at both locations.	common_voice_en_42745074.mp3
311112	321732	This version also featured a bonus track called "Hollywood Teaze".	common_voice_en_42791979.mp3
321732	330624	Aina hii huvumilia hali ya jua kali.	common_voice_en_42812836.mp3
330624	336564	Saint Benedict offers a wide variety of academic, athletic and technical programs.	common_voice_en_42943363.mp3
336564	342180	They have no lateral line and have a protruding lower jaw.	common_voice_en_42763081.mp3
342180	354420	Owen Roberts International Airport serves Grand Cayman with domestic and international flights.	common_voice_en_43406505.mp3
354420	363780	The attribution of human general qualities to divine beings may be called anthropopathy.	common_voice_en_42814267.mp3
363780	369900	For example, consider consumption of cheap fast food versus steak.	common_voice_en_43188894.mp3
369900	379368	Similarly, nature with its diversity taught him the cosmic vitality hid from those unwary.	common_voice_en_42797769.mp3
379368	384408	As I stepped onto the plane, I was amazed at how big it was.	common_voice_en_42814003.mp3
384408	393516	Musical styles represented range from the very traditional Mexican folk to electronic music.	common_voice_en_42814024.mp3
393516	398376	They had five children and four grandchildren.	common_voice_en_42812009.mp3
398376	403164	Sato is an external director on the board of Hitachi.	common_voice_en_42812198.mp3
403164	409068	We need not wonder that he does not exercise it.	common_voice_en_42785961.mp3
409068	411876	That is home	common_voice_en_42785968.mp3
411876	416916	Today he believes that both the Green Party and Left Party are opportunistic.	common_voice_en_42814462.mp3
416916	420444	I’m very glad they’ve called Mr. Allan.	common_voice_en_42814559.mp3
420444	426168	The Muslim members wanted to join the nationalists, but not the Europeans.	common_voice_en_42831657.mp3
426168	431856	Later in her life, Cornelia studied literature, Latin, and Greek.	common_voice_en_42831673.mp3
431856	440352	It is the major cause of orbital decay for satellites in low Earth orbit.	common_voice_en_43195536.mp3
440352	449244	The beaches of Trentova Bay contribute to make Agropoli an important seaside resort.	common_voice_en_43195537.mp3
449244	453852	Animal husbandry concentrates on meat and milk production.	common_voice_en_43203251.mp3
453852	458928	The transformation usually occurs when the individual reaches middle age.	common_voice_en_43203326.mp3
458928	468648	This comes off the back of his recent shaping experience with Machado creations boards.	common_voice_en_42765024.mp3
468648	475848	Not recognized internationally as a part of Russia.	common_voice_en_42765051.mp3
475848	482328	The possible effect of platform capitalism on open science has been discussed.	common_voice_en_42815717.mp3
482328	489384	The Rooftop Restaurant and Bar overlooks both the river and the Bancroft Gardens.	common_voice_en_42815757.mp3
489384	494388	More than half of the show was shot on bluescreen.	common_voice_en_43160566.mp3
494388	498744	However he could not find a publisher for the work.	common_voice_en_43173951.mp3
498744	503424	Samuel Taylor Coleridge was one early advocate of this.	common_voice_en_42975525.mp3
503424	508860	Additionally, the convenience of having a wearable device on my wrist appeals to me.	common_voice_en_42975589.mp3
508860	516456	The following day they returned to Wonsan two fly two more strikes.	common_voice_en_42970620.mp3
516456	521964	The weapon can also be used against bunkers and pillboxes.	common_voice_en_42977065.mp3
521964	527400	The orders of architecture were initially invented by the ancient Greeks.	common_voice_en_43375391.mp3
527400	533520	A year later, the city becomes ravaged by zombies.	common_voice_en_43375393.mp3
533520	539640	The articles were collected into two books and a record album.	common_voice_en_43199085.mp3
539640	547200	Laurence Court is a short street in the Bootleggers Cove neighborhood of Anchorage.	common_voice_en_43199122.mp3
547200	552636	His uncle was the radio presenter Wilfred Pickles.	common_voice_en_42706510.mp3
552636	557856	The element "k" is called an upper bound of "S".	common_voice_en_42706513.mp3
557856	564552	Having escaped, Johnny masquerades as Rigo and begins to assist the doctor.	common_voice_en_42706516.mp3
564552	568728	A Halloween special was also released on the same day.	common_voice_en_43208180.mp3
568728	573876	White now must retreat the knight, or sacrifice it.	common_voice_en_43208189.mp3
573876	580392	Hence, the number of zeros in an interval of a given size slowly increases.	common_voice_en_43208290.mp3
580392	588708	Boocock is in the critically acclaimed avant-garde theatre company "Elevator Repair Service".	common_voice_en_42699872.mp3
588708	593496	The Caliph had Yahya brought to him and confronted the two men.	common_voice_en_42699890.mp3
593496	597996	Mandaic is written in the Mandaic alphabet.	common_voice_en_42699891.mp3
597996	601704	The castle's bastion walls are thick.	common_voice_en_43004194.mp3
